MHM Id,Classification,Container,Userid,latitude,longitude,date,Photo,,,,,,,,,
17233,aedes,plant clumps (bamboo etc),2538037,-22.8854,47.7708,9/19/19,https://data.globe.gov/system/photos/2019/09/19/1212638/original.jpg,,,,,,,,aedes,3917
6203,culex,cement metal or plastic tank,2539857,14.6843,-17.4629,12/29/18,https://data.globe.gov/system/photos/2018/12/29/936079/original.jpg,,,,,,,,culex,2405
6203,culex,cement metal or plastic tank,2539857,14.6843,-17.4629,12/29/18,https://data.globe.gov/system/photos/2018/12/29/936080/original.jpg,,,,,,,,neither,785
6203,culex,cement metal or plastic tank,2539857,14.6843,-17.4629,12/29/18,https://data.globe.gov/system/photos/2018/12/29/936081/original.jpg,,,,,,,,,
6136,culex,cement metal or plastic tank,2539857,15.0409,-16.2473,12/15/18,https://data.globe.gov/system/photos/2018/12/15/930122/original.jpg,,,,,,,,,
6136,culex,cement metal or plastic tank,2539857,15.0409,-16.2473,12/15/18,https://data.globe.gov/system/photos/2018/12/15/930123/original.jpg,,,,,,,,,
6136,culex,cement metal or plastic tank,2539857,15.0409,-16.2473,12/15/18,https://data.globe.gov/system/photos/2018/12/15/930124/original.jpg,,,,,,,,,
4873,aedes,tire,2539857,14.7403,-17.3088,10/20/18,https://data.globe.gov/system/photos/2018/10/20/880600/original.jpg,,,,,,,,,
4873,aedes,tire,2539857,14.7403,-17.3088,10/20/18,https://data.globe.gov/system/photos/2018/10/20/880601/original.jpg,,,,,,,,,
4873,aedes,tire,2539857,14.7403,-17.3088,10/20/18,https://data.globe.gov/system/photos/2018/10/20/880602/original.jpg,,,,,,,,,
4873,aedes,tire,2539857,14.7403,-17.3088,10/20/18,https://data.globe.gov/system/photos/2018/10/20/880603/original.jpg,,,,,,,,,
4873,aedes,tire,2539857,14.7403,-17.3088,10/20/18,https://data.globe.gov/system/photos/2018/10/20/880604/original.jpg,,,,,,,,,
4873,aedes,tire,2539857,14.7403,-17.3088,10/20/18,https://data.globe.gov/system/photos/2018/10/20/880605/original.jpg,,,,,,,,,
4976,aedes,other,2539857,14.7769,17.3788,10/29/18,https://data.globe.gov/system/photos/2018/10/29/889238/original.jpg,,,,,,,,,
4976,aedes,other,2539857,14.7769,17.3788,10/29/18,https://data.globe.gov/system/photos/2018/10/29/889239/original.jpg,,,,,,,,,
4976,aedes,other,2539857,14.7769,17.3788,10/29/18,https://data.globe.gov/system/photos/2018/10/29/889240/original.jpg,,,,,,,,,
4976,aedes,other,2539857,14.7769,17.3788,10/29/18,https://data.globe.gov/system/photos/2018/10/29/889241/original.jpg,,,,,,,,,
2735,aedes,dish or pot,2542300,6.13006,1.24417,6/7/18,https://data.globe.gov/system/photos/2018/06/07/757836/original.jpg,,,,,,,,,
2735,aedes,dish or pot,2542300,6.13006,1.24417,6/7/18,https://data.globe.gov/system/photos/2018/06/07/757837/original.jpg,,,,,,,,,
2735,aedes,dish or pot,2542300,6.13006,1.24417,6/7/18,https://data.globe.gov/system/photos/2018/06/07/757838/original.jpg,,,,,,,,,
2735,aedes,dish or pot,2542300,6.13006,1.24417,6/7/18,https://data.globe.gov/system/photos/2018/06/07/757839/original.jpg,,,,,,,,,
3406,aedes,cement metal or plastic tank,2542443,0.3167,32.561,7/17/18,https://data.globe.gov/system/photos/2018/07/17/791509/original.jpg,,,,,,,,,
3406,aedes,cement metal or plastic tank,2542443,0.3167,32.561,7/17/18,https://data.globe.gov/system/photos/2018/07/17/791510/original.jpg,,,,,,,,,
3406,aedes,cement metal or plastic tank,2542443,0.3167,32.561,7/17/18,https://data.globe.gov/system/photos/2018/07/17/791511/original.jpg,,,,,,,,,
3406,aedes,cement metal or plastic tank,2542443,0.3167,32.561,7/17/18,https://data.globe.gov/system/photos/2018/07/17/791512/original.jpg,,,,,,,,,
18731,culex,tire,2543222,9.6167,-13.6336,11/9/19,https://data.globe.gov/system/photos/2019/11/09/1349127/original.jpg,,,,,,,,,
18731,culex,tire,2543222,9.6167,-13.6336,11/9/19,https://data.globe.gov/system/photos/2019/11/09/1349131/original.jpg,,,,,,,,,
18731,culex,tire,2543222,9.6167,-13.6336,11/9/19,https://data.globe.gov/system/photos/2019/11/09/1349134/original.jpg,,,,,,,,,
3046,aedes,can or bottle,2543222,9.54875,-13.67611,6/27/18,https://data.globe.gov/system/photos/2018/06/27/774207/original.jpg,,,,,,,,,
3046,aedes,can or bottle,2543222,9.54875,-13.67611,6/27/18,https://data.globe.gov/system/photos/2018/06/27/774208/original.jpg,,,,,,,,,
3046,aedes,can or bottle,2543222,9.54875,-13.67611,6/27/18,https://data.globe.gov/system/photos/2018/06/27/774209/original.jpg,,,,,,,,,
3046,aedes,can or bottle,2543222,9.54875,-13.67611,6/27/18,https://data.globe.gov/system/photos/2018/06/27/774210/original.jpg,,,,,,,,,
19933,culex,ditch,3569739,10.609,14.3385,1/24/20,https://data.globe.gov/system/photos/2020/01/24/1462065/original.jpg,,,,,,,,,
28309,neither,cement metal or plastic tank,3575594,5.4675,10.4161,4/19/21,https://data.globe.gov/system/photos/2021/04/19/2212546/original.jpg,,,,,,,,,
28309,neither,cement metal or plastic tank,3575594,5.4675,10.4161,4/19/21,https://data.globe.gov/system/photos/2021/04/19/2212547/original.jpg,,,,,,,,,
28309,neither,cement metal or plastic tank,3575594,5.4675,10.4161,4/19/21,https://data.globe.gov/system/photos/2021/04/19/2212548/original.jpg,,,,,,,,,
28309,neither,cement metal or plastic tank,3575594,5.4675,10.4161,4/19/21,https://data.globe.gov/system/photos/2021/04/19/2212549/original.jpg,,,,,,,,,
19520,aedes,cement metal or plastic tank,5185838,0.2879,32.5261,12/30/19,https://data.globe.gov/system/photos/2019/12/30/1432283/original.jpg,,,,,,,,,
19520,aedes,cement metal or plastic tank,5185838,0.2879,32.5261,12/30/19,https://data.globe.gov/system/photos/2019/12/30/1432284/original.jpg,,,,,,,,,
19520,aedes,cement metal or plastic tank,5185838,0.2879,32.5261,12/30/19,https://data.globe.gov/system/photos/2019/12/30/1432288/original.jpg,,,,,,,,,
12240,aedes,animal trough or water bowl,7550321,5.5903,-0.2059,5/19/19,https://data.globe.gov/system/photos/2019/05/19/1074983/original.jpg,,,,,,,,,
12240,aedes,animal trough or water bowl,7550321,5.5903,-0.2059,5/19/19,https://data.globe.gov/system/photos/2019/05/19/1074984/original.jpg,,,,,,,,,
12240,aedes,animal trough or water bowl,7550321,5.5903,-0.2059,5/19/19,https://data.globe.gov/system/photos/2019/05/19/1074985/original.jpg,,,,,,,,,
